56, 2024-12-16 18:38:01.383, 24
A5, 2024-12-16 18:38:01.584, 69
62, 2024-12-16 18:38:01.783, 59
46, 2024-12-16 18:38:01.982, 33
F8, 2024-12-16 18:38:02.183, 74
DC, 2024-12-16 18:38:02.384, 56
50, 2024-12-16 18:38:02.582, 56
83, 2024-12-16 18:38:02.781, 81
57, 2024-12-16 18:38:02.983, 84
C7, 2024-12-16 18:38:03.183, 27
42, 2024-12-16 18:38:03.382, 90
D3, 2024-12-16 18:38:03.585, 10
EA, 2024-12-16 18:38:03.787, 87
72, 2024-12-16 18:38:03.989, 62
43, 2024-12-16 18:38:04.187, 36
40, 2024-12-16 18:38:04.388, 81
2D, 2024-12-16 18:38:04.586, 66
18, 2024-12-16 18:38:04.789, 66
E6, 2024-12-16 18:38:04.988, 38
4F, 2024-12-16 18:38:05.189, 48
8A, 2024-12-16 18:38:05.392, 35
29, 2024-12-16 18:38:05.593, 7
0F, 2024-12-16 18:38:05.781, 61
88, 2024-12-16 18:38:05.981, 32
E5, 2024-12-16 18:38:06.184, 14
E3, 2024-12-16 18:38:06.382, 74
00, 2024-12-16 18:38:06.587, 54
04, 2024-12-16 18:38:06.788, 70
17, 2024-12-16 18:38:07.179, 62
29, 2024-12-16 18:38:07.582, 59
66, 2024-12-16 18:38:07.781, 47
39, 2024-12-16 18:38:07.984, 79
D5, 2024-12-16 18:38:08.388, 71
97, 2024-12-16 18:38:08.793, 46
6A, 2024-12-16 18:38:08.978, 42
F4, 2024-12-16 18:38:09.192, 76
21, 2024-12-16 18:38:09.392, 3
7D, 2024-12-16 18:38:09.593, 52
79, 2024-12-16 18:38:09.78, 46
6F, 2024-12-16 18:38:09.983, 13
B3, 2024-12-16 18:38:10.185, 67
B6, 2024-12-16 18:38:10.386, 6
87, 2024-12-16 18:38:10.589, 22
B6, 2024-12-16 18:38:10.792, 74
94, 2024-12-16 18:38:10.98, 88
FF, 2024-12-16 18:38:11.185, 30
3E, 2024-12-16 18:38:11.383, 26
BB, 2024-12-16 18:38:11.585, 37
AC, 2024-12-16 18:38:11.787, 59
D8, 2024-12-16 18:38:11.988, 19
9E, 2024-12-16 18:38:12.19, 21
31, 2024-12-16 18:38:12.392, 27
C1, 2024-12-16 18:38:12.58, 82
21, 2024-12-16 18:38:12.779, 9
7D, 2024-12-16 18:38:12.979, 66
ED, 2024-12-16 18:38:13.178, 65
EA, 2024-12-16 18:38:13.381, 14
03, 2024-12-16 18:38:13.582, 75
81, 2024-12-16 18:38:13.786, 22
F4, 2024-12-16 18:38:13.99, 8
47, 2024-12-16 18:38:14.191, 64
9A, 2024-12-16 18:38:14.379, 0
1C, 2024-12-16 18:38:14.582, 1
25, 2024-12-16 18:38:14.787, 82
C1, 2024-12-16 18:38:14.991, 8
C1, 2024-12-16 18:38:15.19, 58
32, 2024-12-16 18:38:15.378, 9
69, 2024-12-16 18:38:15.578, 25
00, 2024-12-16 18:38:15.791, 68
F5, 2024-12-16 18:38:15.99, 61
1C, 2024-12-16 18:38:16.178, 32
04, 2024-12-16 18:38:16.378, 24
A5, 2024-12-16 18:38:16.591, 2
C9, 2024-12-16 18:38:16.778, 42
D9, 2024-12-16 18:38:16.98, 19
29, 2024-12-16 18:38:17.386, 77
08, 2024-12-16 18:38:17.585, 48
7A, 2024-12-16 18:38:17.786, 17
3D, 2024-12-16 18:38:17.987, 11
80, 2024-12-16 18:38:18.186, 69
DF, 2024-12-16 18:38:18.386, 56
68, 2024-12-16 18:38:18.585, 35
5A, 2024-12-16 18:38:18.789, 7
EA, 2024-12-16 18:38:18.978, 13
0D, 2024-12-16 18:38:19.18, 34
B1, 2024-12-16 18:38:19.392, 20
5E, 2024-12-16 18:38:19.593, 89
AC, 2024-12-16 18:38:19.778, 42
44, 2024-12-16 18:38:19.991, 88
5C, 2024-12-16 18:38:20.178, 41
C0, 2024-12-16 18:38:20.39, 26
B9, 2024-12-16 18:38:20.978, 29
C0, 2024-12-16 18:38:21.383, 71
88, 2024-12-16 18:38:21.585, 31
25, 2024-12-16 18:38:21.785, 70
4C, 2024-12-16 18:38:21.986, 4
7F, 2024-12-16 18:38:22.188, 50
E5, 2024-12-16 18:38:22.785, 19
0F, 2024-12-16 18:38:22.988, 6
67, 2024-12-16 18:38:23.189, 7
00, 2024-12-16 18:38:23.391, 11
AC, 2024-12-16 18:38:23.591, 78
41, 2024-12-16 18:38:23.79, 18
31, 2024-12-16 18:38:23.993, 28
